fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,car,0.81,car_-1,1318,305,1398,371,no,0,0,0,0,0,
2,car,0.80,car_1,1317,305,1397,371,no,0,0,0,0,0,
3,car,0.81,car_1,1317,305,1396,371,no,0,0,0,0,0,
4,car,0.76,car_1,1316,305,1396,370,no,0,0,0,0,0,
4,car,0.57,car_2,1226,302,1287,342,no,0,0,0,0,0,
5,car,0.72,car_1,1313,305,1395,369,no,0,0,0,0,0,
5,car,0.54,car_2,1227,303,1286,343,no,0,0,0,0,0,
6,car,0.72,car_1,1312,306,1391,369,no,0,0,0,0,0,
6,car,0.55,car_2,1226,302,1285,343,no,0,0,0,0,0,
7,car,0.71,car_1,1312,306,1391,369,no,0,0,0,0,0,
7,car,0.56,car_2,1226,301,1284,344,no,0,0,0,0,0,
8,car,0.69,car_1,1312,306,1389,368,no,0,0,0,0,0,
8,car,0.53,car_2,1225,302,1282,345,no,0,0,0,0,0,
9,car,0.72,car_1,1310,306,1388,369,no,0,0,0,0,0,
9,car,0.53,car_2,1225,302,1281,344,no,0,0,0,0,0,
10,car,0.70,car_1,1310,306,1386,368,no,0,0,0,0,0,
10,car,0.50,car_2,1225,302,1279,344,no,0,0,0,0,0,
11,car,0.71,car_1,1311,306,1385,368,no,0,0,0,0,0,
11,car,0.51,car_2,1224,302,1276,343,no,0,0,0,0,0,
12,car,0.73,car_1,1311,305,1383,369,no,0,0,0,0,0,
12,car,0.53,car_2,1224,302,1274,344,no,0,0,0,0,0,
13,car,0.75,car_1,1312,305,1381,369,no,0,0,0,0,0,
13,car,0.46,car_2,1224,304,1276,344,no,0,0,0,0,0,
14,car,0.75,car_1,1312,305,1380,369,no,0,0,0,0,0,
14,car,0.46,car_2,1225,304,1275,343,no,0,0,0,0,0,
15,car,0.75,car_1,1312,305,1379,368,no,0,0,0,0,0,
15,car,0.47,car_2,1224,304,1275,343,no,0,0,0,0,0,
16,car,0.74,car_1,1312,305,1378,366,no,0,0,0,0,0,
16,car,0.47,car_2,1224,305,1274,344,no,0,0,0,0,0,
17,car,0.73,car_1,1312,304,1378,365,no,0,0,0,0,0,
17,car,0.45,car_2,1223,305,1275,344,no,0,0,0,0,0,
18,car,0.73,car_1,1310,304,1376,364,no,0,0,0,0,0,
18,car,0.48,car_2,1223,304,1271,346,no,0,0,0,0,0,
19,car,0.73,car_1,1309,305,1374,363,no,0,0,0,0,0,
19,car,0.47,car_2,1223,303,1269,346,no,0,0,0,0,0,
20,car,0.73,car_1,1308,305,1371,361,no,0,0,0,0,0,
20,car,0.46,car_2,1221,303,1268,346,no,0,0,0,0,0,
21,car,0.70,car_1,1308,305,1369,360,no,0,0,0,0,0,
21,car,0.45,car_2,1221,303,1267,346,no,0,0,0,0,0,
22,car,0.68,car_1,1307,306,1367,359,no,0,0,0,0,0,
22,car,0.46,car_2,1221,303,1267,347,no,0,0,0,0,0,
22,car,0.51,car_4,1436,304,1789,458,no,0,0,0,0,0,
23,car,0.64,car_1,1306,307,1365,358,no,0,0,0,0,0,
23,car,0.51,car_2,1219,303,1267,348,no,0,0,0,0,0,
24,car,0.67,car_1,1306,307,1363,358,no,0,0,0,0,0,
24,car,0.50,car_2,1219,303,1267,348,no,0,0,0,0,0,
25,car,0.66,car_1,1306,307,1362,360,no,0,0,0,0,0,
25,car,0.55,car_2,1219,304,1268,348,no,0,0,0,0,0,
26,car,0.69,car_1,1306,308,1361,361,no,0,0,0,0,0,
26,car,0.57,car_2,1219,305,1268,348,no,0,0,0,0,0,
27,car,0.67,car_1,1306,309,1359,361,no,0,0,0,0,0,
27,car,0.54,car_2,1220,305,1267,347,no,0,0,0,0,0,
28,car,0.69,car_1,1305,309,1358,362,no,0,0,0,0,0,
28,car,0.49,car_2,1220,306,1267,347,no,0,0,0,0,0,
29,car,0.63,car_1,1305,309,1357,361,no,0,0,0,0,0,
29,car,0.53,car_2,1220,306,1267,347,no,0,0,0,0,0,
30,car,0.63,car_1,1305,309,1356,359,no,0,0,0,0,0,
30,car,0.48,car_2,1221,307,1267,347,no,0,0,0,0,0,
31,car,0.62,car_1,1304,309,1355,358,no,0,0,0,0,0,
31,car,0.43,car_2,1221,307,1266,346,no,0,0,0,0,0,
32,car,0.60,car_1,1303,309,1355,358,no,0,0,0,0,0,
32,car,0.42,car_2,1221,308,1265,346,no,0,0,0,0,0,
33,car,0.64,car_1,1302,308,1355,358,no,0,0,0,0,0,
33,car,0.41,car_2,1222,307,1264,346,no,0,0,0,0,0,
34,car,0.62,car_1,1301,308,1355,358,no,0,0,0,0,0,
35,car,0.60,car_1,1301,308,1355,357,no,0,0,0,0,0,
36,car,0.57,car_1,1300,308,1354,357,no,0,0,0,0,0,
37,car,0.41,car_1,1300,309,1351,356,no,0,0,0,0,0,
40,car,0.49,car_1,1300,309,1347,357,no,0,0,0,0,0,
41,car,0.41,car_1,1300,310,1345,358,no,0,0,0,0,0,
42,car,0.41,car_1,1300,310,1344,358,no,0,0,0,0,0,
71,car,0.44,car_-1,1338,299,1501,390,no,0,0,0,0,0,
72,car,0.42,car_7,1337,294,1499,391,no,0,0,0,0,0,
73,car,0.48,car_7,1331,297,1500,391,no,0,0,0,0,0,
74,car,0.43,car_1,1281,308,1325,354,no,0,0,0,0,0,
75,car,0.51,car_1,1281,308,1324,353,no,0,0,0,0,0,
76,car,0.48,car_1,1280,308,1322,353,no,0,0,0,0,0,
77,car,0.50,car_1,1280,308,1321,352,no,0,0,0,0,0,
78,car,0.47,car_1,1280,307,1321,352,no,0,0,0,0,0,
79,car,0.47,car_1,1280,306,1321,351,no,0,0,0,0,0,
80,car,0.48,car_1,1281,306,1321,350,no,0,0,0,0,0,
82,car,0.45,car_-1,1281,306,1320,351,no,0,0,0,0,0,
95,person,0.44,person_-1,0,228,53,531,no,0,0,0,0,0,
96,person,0.58,person_9,0,221,62,514,no,0,0,0,0,0,
97,person,0.65,person_9,0,218,69,507,no,0,0,0,0,0,
98,person,0.69,person_9,0,219,74,505,no,0,0,0,0,0,
99,car,0.41,car_7,1313,311,1508,382,no,0,0,0,0,0,
99,person,0.68,person_9,0,226,77,505,no,0,0,0,0,0,
100,car,0.46,car_7,1310,311,1507,382,no,0,0,0,0,0,
100,person,0.67,person_9,0,224,80,505,no,0,0,0,0,0,
101,car,0.41,car_7,1307,311,1508,381,no,0,0,0,0,0,
101,person,0.68,person_9,0,220,85,507,no,0,0,0,0,0,
102,person,0.57,person_9,0,224,93,511,no,0,0,0,0,0,
103,person,0.66,person_9,0,222,100,519,no,0,0,0,0,0,
104,person,0.60,person_9,0,221,105,517,no,0,0,0,0,0,
105,person,0.72,person_9,0,219,111,514,no,0,0,0,0,0,
106,person,0.80,person_9,6,220,117,513,no,0,0,0,0,0,
107,person,0.79,person_9,10,219,121,511,no,0,0,0,0,0,
108,car,0.40,car_7,1313,312,1514,380,no,0,0,0,0,0,
108,person,0.73,person_9,13,224,124,520,no,0,0,0,0,0,
109,car,0.46,car_7,1308,311,1515,380,no,0,0,0,0,0,
109,person,0.67,person_9,14,225,131,522,no,0,0,0,0,0,
110,car,0.49,car_7,1307,311,1515,380,no,0,0,0,0,0,
110,person,0.79,person_9,16,227,150,513,no,0,0,0,0,0,
111,car,0.46,car_7,1307,311,1515,380,no,0,0,0,0,0,
111,car,0.42,car_10,1432,310,1516,379,no,0,0,0,0,0,
111,person,0.77,person_9,16,226,161,507,no,0,0,0,0,0,
112,car,0.41,car_7,1337,312,1515,380,no,0,0,0,0,0,
112,car,0.52,car_10,1429,310,1515,379,no,0,0,0,0,0,
112,person,0.77,person_9,21,226,167,506,no,0,0,0,0,0,
113,car,0.44,car_10,1427,310,1514,379,no,0,0,0,0,0,
113,person,0.72,person_9,27,227,172,505,no,0,0,0,0,0,
114,car,0.45,car_7,1322,312,1514,380,no,0,0,0,0,0,
114,person,0.71,person_9,37,229,173,513,no,0,0,0,0,0,
115,car,0.43,car_7,1321,312,1515,380,no,0,0,0,0,0,
115,person,0.73,person_9,52,230,172,509,no,0,0,0,0,0,
116,car,0.47,car_7,1310,311,1516,380,no,0,0,0,0,0,
116,person,0.69,person_9,63,232,177,503,no,0,0,0,0,0,
117,car,0.43,car_7,1304,311,1516,380,no,0,0,0,0,0,
117,person,0.77,person_9,69,231,186,502,no,0,0,0,0,0,
118,car,0.42,car_7,1302,311,1516,380,no,0,0,0,0,0,
118,person,0.77,person_9,75,229,189,502,no,0,0,0,0,0,
119,person,0.78,person_9,82,229,192,502,no,0,0,0,0,0,
120,person,0.74,person_9,88,229,196,504,no,0,0,0,0,0,
121,car,0.42,car_7,1351,312,1516,381,no,0,0,0,0,0,
121,person,0.74,person_9,93,229,201,505,no,0,0,0,0,0,
122,car,0.42,car_7,1332,312,1515,381,no,0,0,0,0,0,
122,person,0.77,person_9,97,229,208,504,no,0,0,0,0,0,
123,car,0.43,car_7,1327,312,1515,381,no,0,0,0,0,0,
123,person,0.80,person_9,102,231,213,502,no,0,0,0,0,0,
124,person,0.78,person_9,105,234,220,502,no,0,0,0,0,0,
125,person,0.78,person_9,108,235,225,502,no,0,0,0,0,0,
126,person,0.77,person_9,109,239,230,502,no,0,0,0,0,0,
127,person,0.76,person_9,122,238,231,492,no,0,0,0,0,0,
128,person,0.70,person_9,122,238,238,496,no,0,0,0,0,0,
129,person,0.72,person_9,133,235,238,490,no,0,0,0,0,0,
130,person,0.72,person_9,145,233,241,490,no,0,0,0,0,0,
131,person,0.65,person_9,145,234,246,494,no,0,0,0,0,0,
132,person,0.74,person_9,150,234,253,492,no,0,0,0,0,0,
133,person,0.77,person_9,156,234,258,493,no,0,0,0,0,0,
134,car,0.41,car_12,1437,312,1513,376,no,0,0,0,0,0,
134,person,0.76,person_9,162,234,266,492,no,0,0,0,0,0,
135,car,0.43,car_12,1436,313,1513,376,no,0,0,0,0,0,
135,person,0.76,person_9,168,230,272,494,no,0,0,0,0,0,
136,person,0.76,person_9,170,234,270,491,no,0,0,0,0,0,
137,person,0.72,person_9,173,238,280,485,no,0,0,0,0,0,
138,person,0.77,person_9,176,239,290,483,no,0,0,0,0,0,
139,person,0.78,person_9,183,241,296,483,no,0,0,0,0,0,
140,person,0.79,person_9,191,242,299,485,no,0,0,0,0,0,
141,person,0.72,person_9,194,242,298,487,no,0,0,0,0,0,
142,person,0.79,person_9,198,241,301,486,no,0,0,0,0,0,
